CUST_1;Grey 15% Gradient
CUST_2;Brown 15% Gradient
CUST_3;G15 15% Gradient
CUST_4;Blue 15% Solid
CUST_5;Blue 25% Solid
CUST_6;Blue 50% Solid
CUST_7;Blue 75% Solid
CUST_8;Blue 85% Solid
CUST_9;Blue 15% Gradient
CUST_10;Black 15% Solid
CUST_11;Black 25% Solid
CUST_12;Black 50% Solid
CUST_13;Black 75% Solid
CUST_14;Black 85% Solid
CUST_15;Black 15% Gradient
CUST_16;Black 25% Gradient
CUST_17;Black 50% Gradient
CUST_18;Black 75% Gradient
CUST_19;Black 85% Gradient
CUST_20;Purple
CUST_21;Pink
CUST_22;Orange
CUST_23;Yellow
CUST_24;Custom Tint
CUST_25;Custom Gradient
CUST_26;Purple 15% Solid
CUST_27;Purple 25% Solid
CUST_28;Purple 50% Solid
CUST_29;Purple 75% Solid
CUST_30;Purple 85% Solid
CUST_31;Purple 15% Gradient
CUST_32;Purple 25% Gradient
CUST_33;Purple 50% Gradient
CUST_34;Purple 75% Gradient
CUST_35;Purple 85% Gradient
CUST_36;Pink 15% Solid
CUST_37;Pink 25% Solid
CUST_38;Pink 50% Solid
CUST_39;Pink 75% Solid
CUST_40;Pink 85% Solid
CUST_41;Pink 15% Gradient
CUST_42;Pink 25% Gradient
CUST_43;Pink 50% Gradient
CUST_44;Pink 75% Gradient
CUST_45;Pink 85% Gradient
CUST_46;Orange 15% Solid
CUST_47;Orange 25% Solid
CUST_48;Orange 50% Solid
CUST_49;Orange 75% Solid
CUST_50;Orange 85% Solid
CUST_51;Orange 15% Gradient
CUST_52;Orange 25% Gradient
CUST_53;Orange 50% Gradient
CUST_54;Orange 75% Gradient
CUST_55;Orange 85% Gradient
CUST_56;Yellow 15% Solid
CUST_57;Yellow 25% Solid
CUST_58;Yellow 50% Solid
CUST_59;Yellow 75% Solid
CUST_60;Yellow 85% Solid
CUST_61;Yellow 15% Gradient
CUST_62;Yellow 25% Gradient
CUST_63;Yellow 50% Gradient
CUST_64;Yellow 75% Gradient
CUST_65;Yellow 85% Gradient
